mean_energy,unc_me,intensity_beta,unc_ib,daughter_level_hl,daughter_level_energy,energy_ec,unc_eec,intensity_ec,unc_ie,log_ft,unc_lf,transition_type,nu_mean_energy,unc_ame,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
,,,,,385.708,494,40,4.4,0.3,5.63,0.09,A,,,68,90,Er,,0,,0+,2.29,,6,h,8244,216,EC,100,,884,37,67,91,Ho,1-Feb-2017,N. NICA,2025-10-17
,,,,,433.168,447,40,4.0,0.4,5.57,0.11,A,,,68,90,Er,,0,,0+,2.29,,6,h,8244,216,EC,100,,884,37,67,91,Ho,1-Feb-2017,N. NICA,2025-10-17
,,,,,810.88,69,40,0.29,0.05,4.4,1,A,,,68,90,Er,,0,,0+,2.29,,6,h,8244,216,EC,100,,884,37,67,91,Ho,1-Feb-2017,N. NICA,2025-10-17
,,,,,240.75,639,40,2.0,0.3,6.21,0.09,,,,68,90,Er,,0,,0+,2.29,,6,h,8244,216,EC,100,,884,37,67,91,Ho,1-Feb-2017,N. NICA,2025-10-17
,,,,,398.13,482,40,0.113,0.022,7.19,0.12,,,,68,90,Er,,0,,0+,2.29,,6,h,8244,216,EC,100,,884,37,67,91,Ho,1-Feb-2017,N. NICA,2025-10-17
,,,,,662.69,217,40,1.84,0.14,5.17,0.24,,,,68,90,Er,,0,,0+,2.29,,6,h,8244,216,EC,100,,884,37,67,91,Ho,1-Feb-2017,N. NICA,2025-10-17
,,,,0.00000000185,146.801,733,40,76,11,4.76,0.09,A,,,68,90,Er,,0,,0+,2.29,,6,h,8244,216,EC,100,,884,37,67,91,Ho,1-Feb-2017,N. NICA,2025-10-17
,,,,,395.186,485,40,3.24,0.22,5.74,0.09,,,,68,90,Er,,0,,0+,2.29,,6,h,8244,216,EC,100,,884,37,67,91,Ho,1-Feb-2017,N. NICA,2025-10-17
,,,,,461.698,418,40,8.9,0.7,5.16,0.11,A,,,68,90,Er,,0,,0+,2.29,,6,h,8244,216,EC,100,,884,37,67,91,Ho,1-Feb-2017,N. NICA,2025-10-17

