z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date
8,9,O,2.6932,0.0075,0.03835,0.00096,,0,,,5/2+,STABLE,,,,,,,,,,,,,,,2-Jan,-1.893543,0.00001,-0.0256,0.0002,-2760.4655,0.2479,-19555.2641,5.3642,-6358.6894,0.0007,-8678.843,15,4143.0801,0.0008,13781.6425,2.3014,7750.7291,0.0002,16999131.76,0.00069,-808.76421,0.00064,N,1925,5-Aug-21,C.G. Sheu and J.H. Kelley and J. Purcell,10/18/23
8,10,O,2.7726,0.0056,0.2045,0.0102,,0,,,0+,STABLE,,,,,,,,,,,,,,,1,,,,,-1655.9288,0.4633,-10805.8357,0.2479,-6227.6255,0.0038,-13895.983,18.57,8045.3702,0.001,15941.8662,15,7767.0981,0.0002,17999159.61,0.00069,-782.81634,0.00064,N,1929,31-Oct-94,TILLEY and  WELLER and  CHEVES and  CHASTELER,10/18/23
9,10,F,2.8976,0.0025,100,,,0,,,1/2+,STABLE,,,,,,,,,,,,,,,2-Jan,2.628321,0.000004,-0.0942,0.0009,-3239.4986,0.1601,-14876.3806,0.3634,-4013.7991,0.001,-4820.303,2.637,10431.8757,0.4633,7993.5998,0.001,7779.0192,0.0002,18998403.16,0.00088,-1487.44512,0.00082,N,1920,31-Oct-94,TILLEY and  WELLER and  CHEVES and  CHASTELER,10/18/23
10,10,Ne,3.0055,0.0021,90.48,0.03,,0,,,0+,STABLE,,,,,,,,,,,,,,,0,1.08,0.08,-0.23,0.03,-13892.4207,1.109,-28042.6347,10.5351,-4729.8459,0.0016,-7024.469,0.03,16865.3038,0.1601,12843.4581,0.0017,8032.2412,0.0002,19992440.18,0.00165,-7041.93217,0.00154,N,1913,21-Apr-97,D. R. TILLEY and  C. CHEVES and  J. KELLEY and  S. RAMAN and  H. WELLER,10/18/23
10,11,Ne,2.9695,0.0033,0.27,0.01,,0,,,3/2+,STABLE,,,,,,,,,,,,,,,,-0.6617,0.00003,0.1016,0.0008,-3546.919,0.0177,-20653.583,1.1096,-7347.928,0.0385,-5684.171,1.8,6761.1623,0.0385,13003.2842,0.0486,7971.7136,0.0018,20993846.69,0.041,-5731.776,0.038,N,1928,15-Jan-15,R.B. FIRESTONE,10/18/23
10,12,Ne,2.9525,0.004,9.25,0.03,,0,,,0+,STABLE,,,,,,,,,,,,,,,,0.65,0.02,-0.215,0.012,-2843.3243,0.1325,-13911.1765,0.0459,-9666.8153,0.0177,-10818.092,12.399,10364.2574,0.0424,15266.0816,1.8001,8080.4656,0.0008,21991385.11,0.018,-8024.716,0.018,N,1913,1-Apr-15,M. Shamsuzzoha Basunia,10/18/23
11,12,Na,2.9936,0.0021,100,,,0,,,3/2+,STABLE,,,,,,,,,,,,,,,,2.2175,0.00003,0.104,0.001,-4056.179,0.0317,-17201.1852,0.1593,-10467.3243,0.002,-4375.809,0.104,12419.7801,0.1318,8794.1088,0.0178,8111.4936,0.0002,22989769.28,0.00194,-9529.85352,0.00181,N,1921,1-Jun-20,M.S. Basunia{+#} and  A. Chakraborty{+##},10/18/23
12,12,Mg,3.057,0.0016,78.965,0.049,,0,,,0+,STABLE,,,,,,,,,,,,,,,,1.08,0.03,-0.29,0.03,-13884.766,0.2282,-28752.9673,0.3449,-9316.5618,0.013,-5515.677,0.021,16531.2216,0.0343,11692.6957,0.013,8260.7103,0.0006,23985041.69,0.013,-13933.578,0.013,N,1920,31-Mar-22,M. Shamsuzzoha Basunia and  Anagha Chakraborty,10/18/23
12,13,Mg,3.0284,0.0022,10.011,0.013,,0,,,5/2+,STABLE,,,,,,,,,,,,,,,,-0.85533,0.00003,0.199,0.002,-4276.808,0.0447,-21215.2879,0.2326,-9885.9215,0.0607,-3834.968,1.201,7330.5219,0.0471,12063.8523,0.0497,8223.5028,0.0019,24985836.97,0.05,-13192.782,0.047,N,1920,1-Feb-08,R.B. FIRESTONE,10/18/23
12,14,Mg,3.0337,0.0018,11.025,0.038,,0,,,0+,STABLE,,,,,,,,,,,,,,,,1.1,0.3,-0.21,0.02,-4004.4042,0.0629,-15369.8877,0.0629,-10614.7437,0.0342,-9353.764,3.502,11093.0797,0.0443,14145.701,1.2004,8333.8711,0.0011,25982592.97,0.031,-16214.544,0.029,N,1920,1-Feb-16,M.S. Basunia and A.M. Hurst,10/18/23
13,14,Al,3.061,0.0031,100,,,0,,,5/2+,STABLE,,,,,,,,,,,,,,,,3.6407,0.00002,0.1466,0.001,-4812.3583,0.0964,-18127.1784,0.1176,-10091.9259,0.0473,-2610.27,0.06,13058.0422,0.0814,8271.2911,0.0557,8331.5533,0.0018,26981538.41,0.05,-17196.864,0.047,N,1922,30-Nov-10,M. Shamsuzzoha Basunia,10/18/23
14,14,Si,3.1224,0.0024,92.2545,0.0037,,0,,,0+,STABLE,,,,,,,,,,,,,,,,,,,,-14344.9407,1.1473,-28905.0829,9.0006,-9984.1348,0.0129,-4642.078,0.049,17179.6099,0.1074,11584.9046,0.0474,8447.7445,0.0002,27976926.53,0.00055,-21492.79711,0.00051,N,1920,1-Apr-13,M. Shamsuzzoha Basunia,10/18/23
14,15,Si,3.1176,0.0052,4.672,0.016,,0,,,1/2+,STABLE,,,,,,,,,,,,,,,,-0.555052,0.000003,,,-4942.2325,0.3589,-22818.5432,1.1473,-11127.2154,0.0469,-3687.32,0.34,8473.6025,0.0005,12333.3331,0.0486,8448.6361,0.0002,28976494.66,0.0006,-21895.08154,0.00056,N,1920,1-Jan-12,M. Shamsuzzoha Basunia,10/18/23
14,16,Si,3.1336,0.004,3.0735,0.0021,,0,,,0+,STABLE,,,,,,,,,,,,,,,,0.9,0.2,-0.05,0.06,-4232.1065,0.0615,-15551.4314,0.3595,-10643.3347,0.0364,-8568.846,1.936,10609.1989,0.0216,13514.1712,0.3453,8520.6549,0.0008,29973770.14,0.023,-24432.962,0.022,N,1924,30-Jun-10,M. SHAMSUZZOHA BASUNIA,10/18/23
15,16,P,3.1889,0.0019,100,,,0,,,1/2+,STABLE,,,,,,,,,,,,,,,,1.130925,0.000005,,,-5398.013,0.2292,-18452.608,0.2062,-9668.5967,0.0474,-1491.507,0.043,12311.0066,0.0652,7296.5531,0.0216,8481.1677,0.0002,30973762,0.0008,-24440.54442,0.00075,N,1920,24-Jun-22,Jun Chen and Balraj Singh,10/18/23
16,16,S,3.2611,0.0018,94.85,0.255,,0,,,0+,STABLE,,,,,,,,,,,,,,,,,,,,-12680.8313,0.5617,-27052.3027,3.4465,-6947.6559,0.0014,-1710.661,0.04,15044.3237,0.2292,8863.9638,0.0014,8493.1301,0.0002,31972071.17,0.00141,-26015.53714,0.00131,N,1920,24-Aug-11,CHRISTIAN OUELLET and  BALRAJ SINGH,10/18/23
16,17,S,,,0.763,0.02,,0,,,3/2+,STABLE,,,,,,,,,,,,,,,2-Jan,0.64325,0.00002,-0.694,0.004,-5582.5182,0.3908,-21322.4705,0.5617,-7115.6926,0.0014,-248.508,1.09,8641.6392,0.0005,9569.953,0.04,8497.6304,0.0002,32971458.91,0.00144,-26585.8583,0.00134,N,1926,31-Mar-11,JUN CHEN AND BALRAJ SINGH,10/18/23
16,18,S,3.2847,0.0021,4.365,0.235,,0,,,0+,STABLE,,,,,,,,,,,,,,,,1,0.2,0.04,0.03,-5491.6037,0.0378,-16999.6674,0.3933,-7923.6429,0.0496,-5382.987,0.811,11417.1492,0.0446,10883.3101,1.0909,8583.4986,0.0013,33967867.01,0.047,-29931.689,0.045,N,1926,28-May-12,NINEL NICA and  BALRAJ SINGH,10/18/23
16,20,S,3.2985,0.0024,0.0158,0.0017,,0,,,0+,STABLE,,,,,,,,,,,,,,,,,,,,-1142.1329,0.1893,-9721.9273,0.1893,-9011.3676,0.3524,-10413.096,13.115,9889.2491,0.1905,13095.3028,1.857,8575.39,0.0052,35967080.69,0.201,-30664.141,0.188,N,1938,31-Dec-11,NINEL NICA and  JOHN CAMERON AND BALRAJ SINGH,10/18/23
17,18,Cl,3.3654,0.0191,75.8,0.17,,0,,,3/2+,STABLE,,,,,,,,,,,,,,,,0.8217,0.00002,-0.0817,0.0008,-5966.2429,0.6794,-18706.5569,0.0785,-6997.903,0.0355,-167.322,0.053,12644.7639,0.0506,6370.8132,0.0424,8520.279,0.001,34968852.69,0.038,-29013.532,0.035,N,1919,20-Oct-11,JUN CHEN and  JOHN CAMERON AND BALRAJ SINGH,10/18/23
17,20,Cl,3.384,0.017,24.2,0.17,,0,,,3/2+,STABLE,,,,,,,,,,,,,,,,0.684,0.00001,-0.0644,0.0006,-813.8729,0.2,-9601.3275,0.0584,-7849.1172,1.0912,-4865.126,0.205,10310.8617,0.064,8386.3819,0.1861,8570.2816,0.0014,36965902.57,0.055,-31761.552,0.052,N,1919,15-Jan-12,JOHN CAMERON and  JUN CHEN AND BALRAJ SINGH and  NINEL NICA,10/18/23
