z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
66,83,Dy,1,1034.6,0.2,(3/2-),0,0,,7/2-,0,1034.6,0.2,100,,,,,,,,,,,,,,,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,2,1073.23,0.09,(13/2)+,0,0,,7/2-,0,1073.2,0.1,100,,E3,,,,,,,,,,,0.00557,0.00008,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,3,1090.73,0.12,(9/2-),0,0,,7/2-,0,1090.4,0.3,100,,,,,,,,,,,,,,,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,4,1406.7,0.28,(1/2+),1,1034.6,0.2,(3/2-),0,372.1,0.2,100,,E1,,,,,,,,,,,0.01017,0.00014,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,5,1501,0.4,(3/2+),4,1406.7,0.28,(1/2+),0,94.3,0.3,100,,M1(+E2),0.7,,,,,,,,,,2.92,0.1,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,6,1572.8,0.35,(3/2+),4,1406.7,0.28,(1/2+),0,166.1,0.2,100,,M1(+E2),1.5,,,,,,,,,,0.52,0.04,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,7,1583.64,0.14,(11/2-),2,1073.23,0.09,(13/2)+,0,511,2,12,4,,,,,,,,,,,,,,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,7,1583.64,0.14,(11/2-),0,0,,7/2-,1,1583.7,0.2,100,2,,,,,,,,,,,,,,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,8,1626.3,0.5,(5/2+),1,1034.6,0.2,(3/2-),0,591.7,0.5,100,,(E1),,,,,,,,,,,0.00356,0.00005,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,9,1663.45,0.16,(9/2+),2,1073.23,0.09,(13/2)+,0,590.1,0.5,13,4,,,,,,,,,,,,,,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,9,1663.45,0.16,(9/2+),0,0,,7/2-,1,1663.4,0.2,100,2,,,,,,,,,,,,,,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,10,1703.71,0.2,(11/2)+,3,1090.73,0.12,(9/2-),0,613,0.2,18,4,,,,,,,,,,,,,,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,10,1703.71,0.2,(11/2)+,2,1073.23,0.09,(13/2)+,1,630.3,0.5,100,15,M1(+E2),2.5,,,,,,,,,,0.0131,0.0035,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,11,1712.79,0.18,(9/2-),0,0,,7/2-,0,1712.9,0.2,100,,,,,,,,,,,,,,,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,12,1727.5,0.6,(1/2),1,1034.6,0.2,(3/2-),0,692.9,0.6,100,,,,,,,,,,,,,,,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,13,1775.6,0.5,(1/2),1,1034.6,0.2,(3/2-),0,741,0.5,100,,,,,,,,,,,,,,,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,14,1782.21,0.3,(7/2+),0,0,,7/2-,0,1782.2,0.3,100,,,,,,,,,,,,,,,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,15,2165.82,0.28,(9/2 11/2 13/2)+,10,1703.71,0.2,(11/2)+,0,462.1,0.3,100,26,M1(+E2),1,,,,,,,,,,0.032,0.004,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,15,2165.82,0.28,(9/2 11/2 13/2)+,2,1073.23,0.09,(13/2)+,1,1092.6,0.4,87,44,,,,,,,,,,,,,,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,16,2251.84,0.13,(17/2)+,2,1073.23,0.09,(13/2)+,0,1178.6,0.1,100,,E2,,,,,,,,,,,0.00218,0.00003,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,17,2291.74,0.22,(11/2- 13/2-),2,1073.23,0.09,(13/2)+,0,1218.5,0.2,100,,,,,,,,,,,,,,,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,18,2312.22,0.3,(9/2- 11/2-),0,0,,7/2-,0,2312.2,0.3,100,,,,,,,,,,,,,,,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,19,2321.19,0.24,(9/2- 11/2-),3,1090.73,0.12,(9/2-),0,1230.4,0.4,27,11,,,,,,,,,,,,,,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,19,2321.19,0.24,(9/2- 11/2-),0,0,,7/2-,1,2321.2,0.3,100,11,,,,,,,,,,,,,,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,20,2358,0.6,(9/2- 11/2-),9,1663.45,0.16,(9/2+),0,694.5,0.6,100,,,,,,,,,,,,,,,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,21,2402.44,0.31,(11/2- 13/2-),2,1073.23,0.09,(13/2)+,0,1329.2,0.3,100,,,,,,,,,,,,,,,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,22,2409.18,0.22,(9/2- 11/2-),3,1090.73,0.12,(9/2-),0,1318.5,0.3,100,4,,,,,,,,,,,,,,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,22,2409.18,0.22,(9/2- 11/2-),0,0,,7/2-,1,2409.1,0.3,30,6,,,,,,,,,,,,,,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,23,2466.23,0.29,(9/2- 11/2-),3,1090.73,0.12,(9/2-),0,1375.2,0.3,100,6,,,,,,,,,,,,,,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,23,2466.23,0.29,(9/2- 11/2-),0,0,,7/2-,1,2467.4,0.6,15,6,,,,,,,,,,,,,,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,24,2487.23,0.19,(9/2- 11/2-),3,1090.73,0.12,(9/2-),0,1396.5,0.2,70,8,,,,,,,,,,,,,,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,24,2487.23,0.19,(9/2- 11/2-),0,0,,7/2-,1,2487.2,0.3,100,7,,,,,,,,,,,,,,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,25,2550.44,0.17,(21/2)+,16,2251.84,0.13,(17/2)+,0,298.6,0.1,100,,E2,,,,,,,,,,,0.0654,0.0009,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,26,2607.08,0.26,(11/2-),2,1073.23,0.09,(13/2)+,0,1534,0.5,28,10,,,,,,,,,,,,,,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,26,2607.08,0.26,(11/2-),0,0,,7/2-,1,2607,0.3,100,10,,,,,,,,,,,,,,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,27,2660.94,0.34,(27/2)-,25,2550.44,0.17,(21/2)+,0,110.5,0.3,100,,E3,,,,,,,,,,,27.6,0.6,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,28,2718.5,0.4,(9/2- 11/2-),0,0,,7/2-,0,2718.5,0.4,100,,,,,,,,,,,,,,,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,29,2728.64,0.32,(9/2- 11/2- 13/2-),3,1090.73,0.12,(9/2-),0,1637.9,0.3,100,,,,,,,,,,,,,,,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,30,2771,0.6,(1/2+ 3/2+),1,1034.6,0.2,(3/2-),0,1736.4,0.6,100,,,,,,,,,,,,,,,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,31,2788.6,0.5,(1/2+ 3/2+),1,1034.6,0.2,(3/2-),0,1754,0.5,100,,,,,,,,,,,,,,,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,32,2789.17,0.22,(9/2- 11/2-),9,1663.45,0.16,(9/2+),0,1125.7,0.2,100,5,,,,,,,,,,,,,,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,32,2789.17,0.22,(9/2- 11/2-),3,1090.73,0.12,(9/2-),1,1698.5,0.4,75,7,,,,,,,,,,,,,,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,33,2827.32,0.19,(11/2-),11,1712.79,0.18,(9/2-),0,1114.8,0.3,8.4,1.3,,,,,,,,,,,,,,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,33,2827.32,0.19,(11/2-),3,1090.73,0.12,(9/2-),1,1736.6,0.5,100,21,,,,,,,,,,,,,,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,33,2827.32,0.19,(11/2-),2,1073.23,0.09,(13/2)+,2,1753.4,0.4,16,4,,,,,,,,,,,,,,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,33,2827.32,0.19,(11/2-),0,0,,7/2-,3,2827.4,0.3,58,2,,,,,,,,,,,,,,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,34,2882.79,0.23,(11/2- 13/2-),3,1090.73,0.12,(9/2-),0,1791.9,0.3,58,6,,,,,,,,,,,,,,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,34,2882.79,0.23,(11/2- 13/2-),2,1073.23,0.09,(13/2)+,1,1809.7,0.3,100,14,,,,,,,,,,,,,,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,35,2938.1,0.6,(1/2+ 3/2+),4,1406.7,0.28,(1/2+),0,1531.4,0.5,100,,,,,,,,,,,,,,,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,36,2980.4,0.25,(9/2- 11/2-),3,1090.73,0.12,(9/2-),0,1889.7,0.3,75,13,,,,,,,,,,,,,,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,36,2980.4,0.25,(9/2- 11/2-),0,0,,7/2-,1,2980.3,0.4,100,18,,,,,,,,,,,,,,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,37,3014.2,0.4,(9/2- 11/2-),0,0,,7/2-,0,3014.2,0.4,100,,,,,,,,,,,,,,,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,38,3049.5,0.4,(9/2- 11/2- 13/2-),3,1090.73,0.12,(9/2-),0,1958.8,0.4,100,,,,,,,,,,,,,,,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,39,3079.14,0.14,(11/2-),9,1663.45,0.16,(9/2+),0,1415.6,0.3,27,3,,,,,,,,,,,,,,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,39,3079.14,0.14,(11/2-),7,1583.64,0.14,(11/2-),1,1495.5,0.2,84,2,,,,,,,,,,,,,,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,39,3079.14,0.14,(11/2-),3,1090.73,0.12,(9/2-),2,1988.4,0.2,100,4,,,,,,,,,,,,,,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,39,3079.14,0.14,(11/2-),2,1073.23,0.09,(13/2)+,3,2006,0.5,12,5,,,,,,,,,,,,,,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,39,3079.14,0.14,(11/2-),0,0,,7/2-,4,3079.1,0.3,32,3,,,,,,,,,,,,,,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,40,3129.54,0.2,(11/2-),7,1583.64,0.14,(11/2-),0,1545.9,0.2,100,8,,,,,,,,,,,,,,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,40,3129.54,0.2,(11/2-),2,1073.23,0.09,(13/2)+,1,2056.2,0.5,21,12,,,,,,,,,,,,,,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,40,3129.54,0.2,(11/2-),0,0,,7/2-,2,3129.5,0.4,28,6,,,,,,,,,,,,,,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,41,3180.04,0.23,(9/2- 11/2- 13/2-),3,1090.73,0.12,(9/2-),0,2089.3,0.2,100,,,,,,,,,,,,,,,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,42,3202.54,0.29,(9/2- 11/2-),3,1090.73,0.12,(9/2-),0,2111.8,0.3,100,19,,,,,,,,,,,,,,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,42,3202.54,0.29,(9/2- 11/2-),0,0,,7/2-,1,3202.5,0.6,58,23,,,,,,,,,,,,,,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,43,3312.55,0.3,(9/2- 11/2- 13/2-),7,1583.64,0.14,(11/2-),0,1729,0.3,100,10,,,,,,,,,,,,,,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,43,3312.55,0.3,(9/2- 11/2- 13/2-),3,1090.73,0.12,(9/2-),1,2221.4,0.6,98,39,,,,,,,,,,,,,,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,44,3348.65,0.32,(9/2- 11/2- 13/2-),3,1090.73,0.12,(9/2-),0,2257.9,0.3,100,,,,,,,,,,,,,,,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
66,83,Dy,45,3362.8,0.4,(9/2- 11/2-),0,0,,7/2-,0,3362.8,0.4,100,,,,,,,,,,,,,,,23-Aug-2022,Balraj Singh and Jun Chen,2025-10-17
